base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	ce_loss_factor_incft	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	inc_ft_lr_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
55.5	62.85	62.07	0.05	[100.0, 96.16, 82.9, 72.77, 67.42, 60.38, 55.5, 55.5, 55.5, 55.5]	[nan, 99.94, 88.69, 88.7, 77.46, 74.36, 66.95, 65.7, 61.17, 62.85]	[100.0, 97.96, 86.84, 84.69, 75.42, 71.88, 65.18, 64.34, 60.49, 62.07]	[0.0, 0.1, 0.19, 0.13, 0.03, 0.15, 0.12, 0.07, 0.05, 0.05]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
55.67	62.87	62.11	0.03	[100.0, 96.34, 82.95, 72.48, 67.19, 60.62, 55.67, 55.67, 55.67, 55.67]	[nan, 99.83, 88.74, 88.71, 77.45, 74.45, 67.0, 65.72, 61.22, 62.87]	[100.0, 97.99, 86.89, 84.62, 75.36, 71.99, 65.25, 64.38, 60.55, 62.11]	[0.0, 0.0, 0.2, 0.24, 0.12, 0.22, 0.16, 0.06, 0.05, 0.03]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	0	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
55.85	62.74	62.01	0.04	[100.0, 96.34, 83.01, 72.95, 67.77, 60.96, 55.85, 55.85, 55.85, 55.85]	[nan, 99.89, 88.85, 88.82, 77.43, 74.51, 67.0, 65.63, 61.05, 62.74]	[100.0, 98.02, 86.98, 84.82, 75.47, 72.09, 65.27, 64.33, 60.43, 62.01]	[0.0, 0.04, 0.05, 0.07, 0.04, 0.05, 0.05, 0.04, 0.05, 0.04]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	0	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
99.71	0.04	10.62	0.01	[100.0, 100.0, 100.0, 100.0, 100.0, 71.2, 100.0, 62.36, 99.88, 99.71]	[nan, 0.0, 0.0, 0.0, 0.0, 6.11, 0.0, 4.72, 0.01, 0.04]	[100.0, 49.37, 32.21, 25.07, 20.56, 17.81, 15.53, 12.41, 11.93, 10.62]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.27, 0.0, 0.68, 0.01, 0.01]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
99.89	0.0	10.6	0.01	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.89]	[nan, 0.0, 0.0, 0.0, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.59, 18.0, 15.53, 13.35, 11.94, 10.6]	[0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.01]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
57.18	62.86	62.25	0.14	[100.0, 96.4, 84.06, 73.7, 68.7, 62.36, 57.24, 57.18, 57.18, 57.18]	[nan, 100.0, 88.96, 88.88, 77.49, 74.71, 67.09, 65.64, 61.23, 62.86]	[100.0, 98.1, 87.4, 85.05, 75.7, 72.51, 65.56, 64.5, 60.74, 62.25]	[0.0, 0.04, 0.42, 0.24, 0.25, 0.29, 0.16, 0.09, 0.17, 0.14]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	0	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.62, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
98.61	0.04	10.5	0.14	[100.0, 100.0, 99.71, 99.83, 99.88, 99.88, 99.94, 99.94, 99.36, 98.61]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.04]	[100.0, 49.37, 32.12, 25.03, 20.54, 17.98, 15.52, 13.34, 11.87, 10.5]	[0.0, 0.0, 0.07, 0.06, 0.03, 0.03, 0.01, 0.01, 0.08, 0.14]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
32.0	8.45	10.95	0.38	[100.0, 98.43, 99.3, 99.13, 98.26, 54.63, 99.53, 98.43, 33.86, 32.0]	[nan, 97.86, 48.78, 21.88, 14.9, 11.25, 2.23, 0.23, 8.07, 8.45]	[100.0, 98.13, 65.11, 41.2, 32.04, 19.0, 17.34, 13.34, 11.15, 10.95]	[0.0, 0.14, 6.36, 0.54, 5.52, 3.7, 2.52, 0.07, 0.57, 0.38]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
73.41	2.74	10.24	0.52	[100.0, 100.0, 100.0, 100.0, 99.88, 71.38, 85.22, 99.36, 99.77, 73.41]	[nan, 0.0, 0.0, 0.0, 0.0, 6.0, 4.5, 0.01, 0.01, 2.74]	[100.0, 49.37, 32.21, 25.07, 20.54, 17.76, 17.03, 13.27, 11.92, 10.24]	[0.0, 0.0, 0.0, 0.0, 0.03, 0.34, 2.12, 0.11, 0.03, 0.52]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.02	62.8	62.08	0.09	[100.0, 96.34, 83.48, 72.95, 67.77, 60.96, 56.08, 56.02, 56.02, 56.02]	[nan, 99.89, 88.71, 88.72, 77.45, 74.49, 67.02, 65.68, 61.16, 62.8]	[100.0, 98.02, 87.04, 84.75, 75.48, 72.09, 65.32, 64.39, 60.54, 62.08]	[0.0, 0.04, 0.21, 0.2, 0.2, 0.15, 0.18, 0.16, 0.1, 0.09]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	0	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
99.83	0.0	10.59	0.02	[100.0, 100.0, 65.74, 98.95, 66.55, 99.88, 99.83, 99.77, 81.85, 99.83]	[nan, 0.0, 17.47, 0.06, 9.39, 0.0, 0.01, 0.01, 3.18, 0.0]	[100.0, 49.37, 33.03, 24.86, 21.15, 17.98, 15.51, 13.33, 12.58, 10.59]	[0.0, 0.0, 1.57, 0.25, 0.91, 0.03, 0.05, 0.03, 0.96, 0.02]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
97.73	0.07	10.43	0.25	[100.0, 99.53, 83.71, 77.02, 99.53, 99.77, 100.0, 100.0, 99.94, 97.73]	[nan, 0.0, 0.0, 11.45, 0.26, 0.03, 0.04, 0.0, 0.0, 0.07]	[100.0, 49.15, 26.99, 27.91, 20.67, 17.98, 15.57, 13.35, 11.93, 10.43]	[0.0, 0.31, 4.53, 4.77, 0.21, 0.06, 0.05, 0.0, 0.01, 0.25]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.78	62.65	62.02	0.15	[100.0, 96.28, 83.89, 73.76, 68.64, 62.19, 56.84, 56.78, 56.78, 56.78]	[nan, 99.94, 88.66, 88.64, 77.27, 74.53, 66.96, 65.58, 60.95, 62.65]	[100.0, 98.01, 87.16, 84.91, 75.52, 72.34, 65.39, 64.4, 60.45, 62.02]	[0.0, 0.08, 0.23, 0.15, 0.08, 0.15, 0.09, 0.09, 0.17, 0.15]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	0	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
